TEAM	PLAYER	POSITION	SCHOOL	year	round
New York Jets	Jace Amaro	TE	Texas Tech	2014	2
San Diego Chargers	Jeremiah Attaochu	OLB	Georgia Tech	2014	2
Chicago Bears	Ego Ferguson	DT	LSU	2014	2
Arizona Cardinals	Troy Niklas	TE	Notre Dame	2014	2
Green Bay Packers	Davante Adams	WR	Fresno State	2014	2
Tennessee Titans	Bishop Sankey	RB	Washington	2014	2
Cincinnati Bengals	Jeremy Hill	RB	LSU	2014	2
Denver Broncos	Cody Latimer	WR	Indiana	2014	2
San Francisco 49ers	Carlos Hyde	RB	Ohio State	2014	2
New Orleans Saints	Stanley Jean-Baptiste	CB	Nebraska	2014	2
Indianapolis Colts	Jack Mewhort	T	Ohio State	2014	2
Carolina Panthers	Kony Ealy	DE	Missouri	2014	2
Jacksonville Jaguars	Allen Robinson	WR	Penn State	2014	2
New England Patriots	Jimmy Garoppolo	QB	Eastern Illinois	2014	2
Miami Dolphins	Jarvis Landry	WR	LSU	2014	2
Seattle Seahawks	Justin Britt	T	Missouri	2014	2
Houston Texans	C.J. Fiedorowicz	TE	Iowa	2014	3
Washington Redskins	Morgan Moses	T	Virginia	2014	3
Miami Dolphins	Billy Turner	T	North Dakota State	2014	3
Atlanta Falcons	Dezmen Southward	FS	Wisconsin	2014	3
Tampa Bay Buccaneers	Charles Sims	RB	West Virginia	2014	3
San Francisco 49ers	Marcus Martin	C	USC	2014	3
Cleveland Browns	Christian Kirksey	OLB	Iowa	2014	3
Minnesota Vikings	Scott Crichton	DE	Oregon State	2014	3
Buffalo Bills	Preston Brown	ILB	Louisville	2014	3
New York Giants	Jay Bromley	DT	Syracuse	2014	3
St. Louis Rams	Tre Mason	RB	Auburn	2014	3
Detroit Lions	Travis Swanson	C	Arkansas	2014	3
San Francisco 49ers	Chris Borland	ILB	Wisconsin	2014	3
Washington Redskins	Spencer Long	G	Nebraska	2014	3
Baltimore Ravens	Terrence Brooks	FS	Florida State	2014	3
New York Jets	Dexter McDougle	CB	Maryland	2014	3
Oakland Raiders	Gabe Jackson	G	Mississippi State	2014	3
Chicago Bears	Will Sutton	DT	Arizona State	2014	3
Houston Texans	Louis Nix	DT	Notre Dame	2014	3
Arizona Cardinals	Kareem Martin	DE	North Carolina	2014	3
Green Bay Packers	Khyri Thornton	DT	Southern Mississippi	2014	3
Philadelphia Eagles	Josh Huff	WR	Oregon	2014	3
Kansas City Chiefs	Phillip Gaines	CB	Rice	2014	3
Cincinnati Bengals	Will Clarke	DE	West Virginia	2014	3
San Diego Chargers	Chris Watt	G	Notre Dame	2014	3
Indianapolis Colts	Donte Moncrief	WR	Mississippi	2014	3
Arizona Cardinals	John Brown	WR	Pittsburg State	2014	3
Carolina Panthers	Trai Turner	G	LSU	2014	3
Jacksonville Jaguars	Brandon Linder	G	Miami (Fla.)	2014	3
Cleveland Browns	Terrance West	RB	Towson	2014	3
Denver Broncos	Michael Schofield	T	Michigan	2014	3
Minnesota Vikings	Jerick McKinnon	RB	Georgia Southern	2014	3
Pittsburgh Steelers	Dri Archer	RB	Kent State	2014	3
Green Bay Packers	Richard Rodgers	TE	California	2014	3
Baltimore Ravens	Crockett Gillmore	TE	Colorado State	2014	3
San Francisco 49ers	Brandon Thomas	G	Clemson	2014	3
Philadelphia Eagles	Jaylen Watkins	CB	Florida	2014	4
Washington Redskins	Bashaud Breeland	CB	Clemson	2014	4
Atlanta Falcons	Devonta Freeman	RB	Florida State	2014	4
New York Jets	Jalen Saunders	WR	Oklahoma	2014	4
New England Patriots	Bryan Stork	C	Florida State	2014	4
San Francisco 49ers	Bruce Ellington	WR	South Carolina	2014	4
Oakland Raiders	Justin Ellis	DT	Louisiana Tech	2014	4
Seattle Seahawks	Cassius Marsh	DE	UCLA	2014	4
Buffalo Bills	Ross Cockrell	CB	Duke	2014	4
St. Louis Rams	Maurice Alexander	SS	Utah State	2014	4
Cincinnati Bengals	Russell Bodine	G	North Carolina	2014	4
Tennessee Titans	DaQuan Jones	DT	Penn State	2014	4
New York Giants	Andre Williams	RB	Boston College	2014	4
Jacksonville Jaguars	Aaron Colvin	CB	Oklahoma	2014	4
New York Jets	Shaq Evans	WR	UCLA	2014	4
Oakland Raiders	Keith McGill	CB	Utah	2014	4
Chicago Bears	Ka'Deem Carey	RB	Arizona	2014	4
Pittsburgh Steelers	Martavis Bryant	WR	Clemson	2014	4
Dallas Cowboys	Anthony Hitchens	OLB	Iowa	2014	4
Arizona Cardinals	Logan Thomas	QB	Virginia Tech	2014	4
Green Bay Packers	Carl Bradford	OLB	Arizona State	2014	4
Tennessee Titans	Marqueston Huff	DB	Wyoming	2014	4
Seattle Seahawks	Kevin Norwood	WR	Alabama	2014	4
Kansas City Chiefs	De'Anthony Thomas	RB	Oregon	2014	4
Miami Dolphins	Walt Aikens	CB	Liberty	2014	4
New Orleans Saints	Khairi Fortt	OLB	California	2014	4
Cleveland Browns	Pierre Desir	CB	Lindenwood	2014	4
Carolina Panthers	Tre Boston	SS	North Carolina	2014	4
San Francisco 49ers	Dontae Johnson	CB	North Carolina State	2014	4
New England Patriots	James White	RB	Wisconsin	2014	4
Chicago Bears	Brock Vereen	SS	Minnesota	2014	4
Seattle Seahawks	Kevin Pierre-Louis	OLB	Boston College	2014	4
Detroit Lions	Nevin Lawson	CB	Utah State	2014	4
Baltimore Ravens	Brent Urban	DE	Virginia	2014	4
Houston Texans	Tom Savage	QB	Pittsburgh	2014	4
Detroit Lions	Larry Webster	DE	Bloomsburg	2014	4
New York Jets	Dakota Dozier	T	Furman	2014	4
Baltimore Ravens	Lorenzo Taliaferro	RB	Coastal Carolina	2014	4
Atlanta Falcons	Prince Shembo	OLB	Notre Dame	2014	4
New England Patriots	Cameron Fleming	T	Stanford	2014	4
Philadelphia Eagles	Taylor Hart	DE	Oregon	2014	5
Washington Redskins	Ryan Grant	WR	Tulane	2014	5
Tampa Bay Buccaneers	Kadeem Edwards	G	Tennessee State	2014	5
Jacksonville Jaguars	Telvin Smith	OLB	Florida State	2014	5
Minnesota Vikings	David Yankey	G	Stanford	2014	5
Dallas Cowboys	Devin Street	WR	Pittsburgh	2014	5
Atlanta Falcons	Ricardo Allen	CB	Purdue	2014	5
Carolina Panthers	Bene Benwikere	CB	San Jose State	2014	5
Tampa Bay Buccaneers	Kevin Pamphile	T	Purdue	2014	5
San Francisco 49ers	Aaron Lynch	DE	South Florida	2014	5
Tennessee Titans	Avery Williamson	LB	Kentucky	2014	5
New York Giants	Nat Berhe	DB	San Diego State	2014	5
Buffalo Bills	Cyril Richardson	G	Baylor	2014	5
New York Jets	Jeremiah George	LB	Iowa State	2014	5
Miami Dolphins	Arthur Lynch	TE	Georgia	2014	5
Denver Broncos	Lamin Barrow	LB	LSU	2014	5
Pittsburgh Steelers	Shaquille Richardson	DB	Arizona	2014	5
Detroit Lions	Caraun Reid	DT	Princeton	2014	5
Jacksonville Jaguars	Chris Smith	LB	Arkansas	2014	5
Arizona Cardinals	Ed Stinson	DE	Alabama	2014	5
Green Bay Packers	Corey Linsley	C	Ohio State	2014	5
Philadelphia Eagles	Ed Reynolds	DB	Stanford	2014	5
Kansas City Chiefs	Aaron Murray	QB	Georgia	2014	5
Cincinnati Bengals	AJ McCarron	QB	Alabama	2014	5
San Diego Chargers	Ryan Carrethers	DT	Arkansas State	2014	5
Indianapolis Colts	Jonathan Newsome	DE	Ball State	2014	5
New Orleans Saints	Vinnie Sunseri	DB	Alabama	2014	5
Atlanta Falcons	Marquis Spruill	LB	Syracuse	2014	5
New Orleans Saints	Ronald Powell	LB	Florida	2014	5
San Francisco 49ers	Keith Reaser	DB	Florida Atlantic	2014	5
Miami Dolphins	Jordie Tripp	LB	Montana	2014	5
Seattle Seahawks	Jimmy Staten	DT	Middle Tennessee State	2014	5
Pittsburgh Steelers	Wesley Johnson	C	Vanderbilt	2014	5
New York Giants	Devon Kennard	LB	USC	2014	5
Baltimore Ravens	John Urschel	G	Penn State	2014	5
Green Bay Packers	Jared Abbrederis	WR	Wisconsin	2014	5
Houston Texans	Jeoffrey Pagan	DE	Alabama	2014	6
Tennessee Titans	Zach Mettenberger	QB	LSU	2014	6
New England Patriots	Jon Halapio	G	Florida	2014	6
San Francisco 49ers	Kenneth Acker	DB	Southern Methodist	2014	6
Houston Texans	Alfred Blue	RB	LSU	2014	6
Minnesota Vikings	Antone Exum	CB	Virginia Tech	2014	6
Chicago Bears	David Fales	QB	San Jose State	2014	6
Minnesota Vikings	Kendall James	DB	Maine	2014	6
Tampa Bay Buccaneers	Robert Herron	WR	Wyoming	2014	6
Washington Redskins	Lache Seastrunk	RB	Baylor	2014	6
New York Giants	Bennett Jackson	DB	Notre Dame	2014	6
St. Louis Rams	E.J. Gaines	DB	Missouri	2014	6
Detroit Lions	T.J. Jones	WR	Notre Dame	2014	6
Miami Dolphins	Matt Hazel	WR	Coastal Carolina	2014	6
Chicago Bears	Pat O'Donnell	P	Miami (Fla.)	2014	6
Pittsburgh Steelers	Jordan Zumwalt	LB	UCLA	2014	6
Kansas City Chiefs	Zach Fulton	G	Tennessee	2014	6
Baltimore Ravens	Keith Wenning	QB	Ball State	2014	6
New York Jets	Brandon Dixon	DB	Northwest Missouri State	2014	6
Arizona Cardinals	Walt Powell	WR	Murray State	2014	6
Green Bay Packers	Demetri Goodson	DB	Baylor	2014	6
Seattle Seahawks	Garrett Scott	T	Marshall	2014	6
Kansas City Chiefs	Laurent Duvernay-Tardif	T	McGill (Canada)	2014	6
San Diego Chargers	Marion Grice	RB	Arizona State	2014	6
New Orleans Saints	Tavon Rooks	T	Kansas State	2014	6
Indianapolis Colts	Andrew Jackson	LB	Western Kentucky	2014	6
Carolina Panthers	Tyler Gaffney	RB	Stanford	2014	6
Jacksonville Jaguars	Luke Bowanko	C	Virginia	2014	6
New England Patriots	Jemea Thomas	DB	Georgia Tech	2014	6
Denver Broncos	Matt Paradis	C	Boise State	2014	6
Seattle Seahawks	Eric Pinkins	DB	San Diego State	2014	6
New York Jets	Quincy Enunwa	WR	Nebraska	2014	6
New York Jets	IK Enemkpali	DE	Louisiana Tech	2014	6
Houston Texans	Jay Prosch	FB	Auburn	2014	6
Cincinnati Bengals	Marquis Flowers	LB	Arizona	2014	6
New York Jets	Tajh Boyd	QB	Clemson	2014	6
St. Louis Rams	Garrett Gilbert	QB	Southern Methodist	2014	6
Pittsburgh Steelers	Dan McCullers	DT	Tennessee	2014	6
Houston Texans	Andre Hal	DB	Vanderbilt	2014	7
Houston Texans	Drew Howell	LS	Oregon	2014	7
Washington Redskins	Ted Bolser	TE	Indiana	2014	7
Baltimore Ravens	Michael Campanaro	WR	Wake Forest	2014	7
Oakland Raiders	Travis Carrie	DB	Ohio U.	2014	7
Minnesota Vikings	Shamar Stephen	DT	Connecticut	2014	7
Buffalo Bills	Randell Johnson	LB	Florida Atlantic	2014	7
Jacksonville Jaguars	Storm Johnson	RB	Central Florida	2014	7
Minnesota Vikings	Brandon Watts	LB	Georgia Tech	2014	7
Philadelphia Eagles	Beau Allen	DT	Wisconsin	2014	7
Minnesota Vikings	Jabari Price	DB	North Carolina	2014	7
St. Louis Rams	Mitchell Van Dyk	T	Portland State	2014	7
Seattle Seahawks	Kiero Small	FB	Arkansas	2014	7
Washington Redskins	Zach Hocker	K	Arkansas	2014	7
Detroit Lions	Nate Freese	K	Boston College	2014	7
Pittsburgh Steelers	Rob Blanchflower	TE	Massachusetts	2014	7
Dallas Cowboys	Ben Gardner	DE	Stanford	2014	7
Indianapolis Colts	John Ulrick	T	Georgia State	2014	7
New York Jets	Trevor Reilly	LB	Utah	2014	7
Miami Dolphins	Terrence Fede	DE	Marist	2014	7
Oakland Raiders	Shelby Harris	DE	Illinois State	2014	7
Green Bay Packers	Jeff Janis	WR	Saginaw Valley State	2014	7
Buffalo Bills	Seantrel Henderson	T	Miami (Fla.)	2014	7
Dallas Cowboys	Will Smith	LB	Texas Tech	2014	7
Cincinnati Bengals	James Wright	WR	LSU	2014	7
San Diego Chargers	Tevin Reese	WR	Baylor	2014	7
St. Louis Rams	Christian Bryant	DB	Ohio State	2014	7
Denver Broncos	Corey Nelson	LB	Oklahoma	2014	7
San Francisco 49ers	Kaleb Ramsey	DT	Boston College	2014	7
New England Patriots	Jeremy Gallon	WR	Michigan	2014	7
San Francisco 49ers	Trey Millard	FB	Oklahoma	2014	7
Chicago Bears	Charles Leno	T	Boise State	2014	7
Oakland Raiders	Jonathan Dowling	DB	Western Kentucky	2014	7
Dallas Cowboys	Ahmad Dixon	DB	Baylor	2014	7
St. Louis Rams	Michael Sam	DE	Missouri	2014	7
St. Louis Rams	Demetrius Rhaney	C	Tennessee State	2014	7
Dallas Cowboys	Ken Bishop	DT	Northern Illinois	2014	7
Cincinnati Bengals	Lavelle Westbrooks	DB	Georgia Southern	2014	7
Atlanta Falcons	Yawin Smallwood	ILB	Connecticut	2014	7
Dallas Cowboys	Terrance Mitchell	DB	Oregon	2014	7
Atlanta Falcons	Tyler Starr	LB	South Dakota	2014	7
Houston Texans	Lonnie Ballentine	DB	Memphis	2014	7
Tampa Bay Buccaneers	Jameis Winston	QB	Florida State	2015	1
Tennessee Titans	Marcus Mariota	QB	Oregon	2015	1
Jacksonville Jaguars	Dante Fowler	LB	Florida	2015	1
Oakland Raiders	Amari Cooper	WR	Alabama	2015	1
Washington Redskins	Brandon Scherff	T	Iowa	2015	1
New York Jets	Leonard Williams	DT	USC	2015	1
Chicago Bears	Kevin White	WR	West Virginia	2015	1
Atlanta Falcons	Vic Beasley	LB	Clemson	2015	1
New York Giants	Ereck Flowers	T	Miami (Fla.)	2015	1
St. Louis Rams	Todd Gurley	RB	Georgia	2015	1
Minnesota Vikings	Trae Waynes	CB	Michigan State	2015	1
Cleveland Browns	Danny Shelton	DT	Washington	2015	1
New Orleans Saints	Andrus Peat	T	Stanford	2015	1
Miami Dolphins	DeVante Parker	WR	Louisville	2015	1
San Diego Chargers	Melvin Gordon	RB	Wisconsin	2015	1
Houston Texans	Kevin Johnson	CB	Wake Forest	2015	1
San Francisco 49ers	Arik Armstead	DE	Oregon	2015	1
Kansas City Chiefs	Marcus Peters	CB	Washington	2015	1
Cleveland Browns	Cameron Erving	T	Florida State	2015	1
Philadelphia Eagles	Nelson Agholor	WR	USC	2015	1
Cincinnati Bengals	Cedric Ogbuehi	T	Texas A&M	2015	1
Pittsburgh Steelers	Bud Dupree	LB	Kentucky	2015	1
Denver Broncos	Shane Ray	DE	Missouri	2015	1
Arizona Cardinals	D.J. Humphries	T	Florida	2015	1
Carolina Panthers	Shaq Thompson	LB	Washington	2015	1
Baltimore Ravens	Breshad Perriman	WR	Central Florida	2015	1
Dallas Cowboys	Byron Jones	CB	Connecticut	2015	1
Detroit Lions	Laken Tomlinson	G	Duke	2015	1
Indianapolis Colts	Phillip Dorsett	WR	Miami (Fla.)	2015	1
Green Bay Packers	Damarious Randall	DB	Arizona State	2015	1
New Orleans Saints	Stephone Anthony	LB	Clemson	2015	1
New England Patriots	Malcom Brown	DT	Texas	2015	1
New York Giants	Landon Collins	SAF	Alabama	2015	2
Tampa Bay Buccaneers	Donovan Smith	T	Penn State	2015	2
Oakland Raiders	Mario Edwards	DE	Florida State	2015	2
Jacksonville Jaguars	T.J. Yeldon	RB	Alabama	2015	2
New York Jets	Devin Smith	WR	Ohio State	2015	2
Washington Redskins	Preston Smith	DE	Mississippi State	2015	2
Chicago Bears	Eddie Goldman	DT	Florida State	2015	2
Tennessee Titans	Dorial Green-Beckham	WR	Oklahoma	2015	2
Carolina Panthers	Devin Funchess	WR	Michigan	2015	2
Atlanta Falcons	Jalen Collins	CB	LSU	2015	2
Houston Texans	Benardrick McKinney	LB	Mississippi State	2015	2
New Orleans Saints	Hau'oli Kikaha	LB	Washington	2015	2
Minnesota Vikings	Eric Kendricks	LB	UCLA	2015	2
San Francisco 49ers	Jaquiski Tartt	SAF	Samford	2015	2
Philadelphia Eagles	Eric Rowe	CB	Utah	2015	2
San Diego Chargers	Denzel Perryman	LB	Miami (Fla.)	2015	2
Kansas City Chiefs	Mitch Morse	G	Missouri	2015	2
Buffalo Bills	Ronald Darby	CB	Florida State	2015	2
Cleveland Browns	Nate Orchard	DE	Utah	2015	2
Miami Dolphins	Jordan Phillips	DT	Oklahoma	2015	2
Cincinnati Bengals	Jake Fisher	T	Oregon	2015	2
Detroit Lions	Ameer Abdullah	RB	Nebraska	2015	2
Baltimore Ravens	Maxx Williams	TE	Minnesota	2015	2
Pittsburgh Steelers	Senquez Golson	CB	Mississippi	2015	2
St. Louis Rams	Rob Havenstein	T	Wisconsin	2015	2
Arizona Cardinals	Markus Golden	DE	Missouri	2015	2
Denver Broncos	Ty Sambrailo	T	Colorado State	2015	2
Dallas Cowboys	Randy Gregory	LB	Nebraska	2015	2
Tampa Bay Buccaneers	Ali Marpet	G	Hobart	2015	2
Green Bay Packers	Quinten Rollins	CB	Miami (Ohio)	2015	2
Seattle Seahawks	Frank Clark	DE	Michigan	2015	2
New England Patriots	Jordan Richards	SAF	Stanford	2015	2
Indianapolis Colts	D'Joun Smith	CB	Florida Atlantic	2015	3
Tennessee Titans	Jeremiah Poutasi	G	Utah	2015	3
Jacksonville Jaguars	A.J. Cann	G	South Carolina	2015	3
Oakland Raiders	Clive Walford	TE	Miami (Fla.)	2015	3
Seattle Seahawks	Tyler Lockett	WR	Kansas State	2015	3
Houston Texans	Jaelen Strong	WR	Arizona State	2015	3
Chicago Bears	Hroniss Grasu	C	Oregon	2015	3
St. Louis Rams	Jamon Brown	T	Louisville	2015	3
Atlanta Falcons	Tevin Coleman	RB	Indiana	2015	3
New York Giants	Owa Odighizuwa	DE	UCLA	2015	3
New Orleans Saints	Garrett Grayson	QB	Colorado State	2015	3
Kansas City Chiefs	Chris Conley	WR	Georgia	2015	3
Cleveland Browns	Duke Johnson	RB	Miami (Fla.)	2015	3
New Orleans Saints	P.J. Williams	CB	Florida State	2015	3
San Francisco 49ers	Eli Harold	LB	Virginia	2015	3
Detroit Lions	Alex Carter	CB	Stanford	2015	3
Buffalo Bills	John Miller	G	Louisville	2015	3
New York Jets	Lorenzo Mauldin	LB	Louisville	2015	3
San Diego Chargers	Craig Mager	CB	Texas State	2015	3
Philadelphia Eagles	Jordan Hicks	LB	Texas	2015	3
Cincinnati Bengals	Tyler Kroft	TE	Rutgers	2015	3
Arizona Cardinals	David Johnson	RB	Northern Iowa	2015	3
Pittsburgh Steelers	Sammie Coates	WR	Auburn	2015	3
Minnesota Vikings	Danielle Hunter	DE	LSU	2015	3
St. Louis Rams	Sean Mannion	QB	Oregon State	2015	3
Baltimore Ravens	Carl Davis	DT	Iowa	2015	3
Dallas Cowboys	Chaz Green	T	Florida	2015	3
Denver Broncos	Jeff Heuerman	TE	Ohio State	2015	3
Indianapolis Colts	Henry Anderson	DE	Stanford	2015	3
Green Bay Packers	Ty Montgomery	WR	Stanford	2015	3
Washington Redskins	Matt Jones	RB	Florida	2015	3
Cleveland Browns	Xavier Cooper	DT	Washington State	2015	3
New England Patriots	Geneo Grissom	LB	Oklahoma	2015	3
Kansas City Chiefs	Steven Nelson	CB	Oregon State	2015	3
Cincinnati Bengals	P.J. Dawson	LB	Texas Christian	2015	3
Tennessee Titans	Angelo Blackson	DT	Auburn	2015	4
New England Patriots	Trey Flowers	DE	Arkansas	2015	4
Carolina Panthers	Daryl Williams	T	Oklahoma	2015	4
New York Jets	Bryce Petty	QB	Baylor	2015	4
Jacksonville Jaguars	James Sample	SAF	Louisville	2015	4
Washington Redskins	Jamison Crowder	WR	Duke	2015	4
Chicago Bears	Jeremy Langford	RB	Michigan State	2015	4
Atlanta Falcons	Justin Hardy	WR	East Carolina	2015	4
Tennessee Titans	Jalston Fowler	FB	Alabama	2015	4
Indianapolis Colts	Clayton Geathers	SAF	Central Florida	2015	4
Minnesota Vikings	T.J. Clemmings	T	Pittsburgh	2015	4
New England Patriots	Tre Jackson	G	Florida State	2015	4
Washington Redskins	Arie Kouandjio	G	Alabama	2015	4
Detroit Lions	Gabe Wright	DT	Auburn	2015	4
Miami Dolphins	Jamil Douglas	G	Arizona State	2015	4
Cleveland Browns	Ibraheim Campbell	SAF	Northwestern	2015	4
Arizona Cardinals	Rodney Gunter	DT	Delaware State	2015	4
San Francisco 49ers	Blake Bell	TE	Oklahoma	2015	4
Kansas City Chiefs	Ramik Wilson	LB	Georgia	2015	4
St. Louis Rams	Andrew Donnal	T	Iowa	2015	4
Cincinnati Bengals	Josh Shaw	CB	USC	2015	4
Pittsburgh Steelers	Doran Grant	CB	Ohio State	2015	4
Baltimore Ravens	Za'Darius Smith	DE	Kentucky	2015	4
Cleveland Browns	Vince Mayle	WR	Washington State	2015	4
Tampa Bay Buccaneers	Kwon Alexander	OLB	LSU	2015	4
Baltimore Ravens	Javorius Allen	RB	USC	2015	4
San Francisco 49ers	Mike Davis	RB	South Carolina	2015	4
Dallas Cowboys	Damien Wilson	LB	Minnesota	2015	4
Oakland Raiders	Jon Feliciano	G	Miami (Fla.)	2015	4
Green Bay Packers	Jake Ryan	LB	Michigan	2015	4
Seattle Seahawks	Terry Poole	T	San Diego State	2015	4
New England Patriots	Shaq Mason	C	Georgia Tech	2015	4
San Francisco 49ers	DeAndre Smelter	WR	Georgia Tech	2015	4
Denver Broncos	Max Garcia	C	Florida	2015	4
Seattle Seahawks	Mark Glowinski	G	West Virginia	2015	4
Cincinnati Bengals	Marcus Hardison	DT	Arizona State	2015	4
Baltimore Ravens	Tray Walker	CB	Texas Southern	2015	4
Atlanta Falcons	Grady Jarrett	DT	Clemson	2015	5
Tennessee Titans	David Cobb	RB	Minnesota	2015	5
Jacksonville Jaguars	Rashad Greene	WR	Florida State	2015	5
Oakland Raiders	Ben Heeney	LB	Kansas	2015	5
Washington Redskins	Martrell Spaight	LB	Arkansas	2015	5
Chicago Bears	Adrian Amos	SAF	Penn State	2015	5
Minnesota Vikings	MyCole Pruitt	TE	Southern Illinois	2015	5
New York Giants	Mykkele Thompson	DB	Texas	2015	5
Miami Dolphins	Bobby McCain	CB	Memphis	2015	5
Minnesota Vikings	Stefon Diggs	WR	Maryland	2015	5
Green Bay Packers	Brett Hundley	QB	UCLA	2015	5
New Orleans Saints	Davis Tull	OLB	Tennessee-Chattanooga	2015	5
Miami Dolphins	Jay Ajayi	RB	Boise State	2015	5
Miami Dolphins	Cedric Thompson	DB	Minnesota	2015	5
Indianapolis Colts	David Parry	NT	Stanford	2015	5
New York Jets	Jarvis Harrison	G	Texas A&M	2015	5
San Diego Chargers	Kyle Emanuel	LB	North Dakota State	2015	5
New Orleans Saints	Tyeler Davison	DT	Fresno State	2015	5
Buffalo Bills	Karlos Williams	RB	Florida State	2015	5
Miami Dolphins	Tony Lippett	WR	Michigan State	2015	5
Cincinnati Bengals	C.J. Uzomah	TE	Auburn	2015	5
Arizona Cardinals	Shaquille Riddick	DE	West Virginia	2015	5
Arizona Cardinals	J.J. Nelson	WR	Alabama-Birmingham	2015	5
Pittsburgh Steelers	Jesse James	TE	Penn State	2015	5
Oakland Raiders	Neiron Ball	LB	Florida	2015	5
Tampa Bay Buccaneers	Kenny Bell	WR	Nebraska	2015	5
Dallas Cowboys	Ryan Russell	DE	Purdue	2015	5
Denver Broncos	Lorenzo Doss	CB	Tulane	2015	5
San Francisco 49ers	Bradley Pinion	P	Clemson	2015	5
New England Patriots	Joe Cardona	LS	Navy	2015	5
New Orleans Saints	Damian Swann	CB	Georgia	2015	5
Detroit Lions	Michael Burton	FB	Rutgers	2015	5
Carolina Panthers	David Mayo	LB	Texas State	2015	5
Seattle Seahawks	Tye Smith	CB	Towson	2015	5
Baltimore Ravens	Nick Boyle	TE	Delaware	2015	5
Kansas City Chiefs	D.J. Alexander	LB	Oregon State	2015	5
Kansas City Chiefs	James O'Shaughnessy	TE	Illinois State	2015	5
Carolina Panthers	Cameron Artis-Payne	RB	Auburn	2015	5
Houston Texans	Keith Mumphery	WR	Michigan State	2015	5
Baltimore Ravens	Robert Myers	G	Tennessee State	2015	5
Tennessee Titans	Deiontrez Mount	LB	Louisville	2015	6
New England Patriots	Matt Wells	LB	Mississippi State	2015	6
Oakland Raiders	Max Valles	OLB	Virginia	2015	6
Jacksonville Jaguars	Michael Bennett	DT	Ohio State	2015	6
Washington Redskins	Kyshoen Jarrett	SAF	Virginia Tech	2015	6
Washington Redskins	Tevin Mitchel	CB	Arkansas	2015	6
Chicago Bears	Tayo Fabuluje	T	Texas Christian	2015	6
Tampa Bay Buccaneers	Kaelin Clay	WR	Utah	2015	6
Minnesota Vikings	Tyrus Thompson	T	Oklahoma	2015	6
New York Giants	Geremy Davis	WR	Connecticut	2015	6
Washington Redskins	Evan Spencer	WR	Ohio State	2015	6
Buffalo Bills	Tony Steward	LB	Clemson	2015	6
Cleveland Browns	Charles Gaines	CB	Louisville	2015	6
San Francisco 49ers	Ian Silberman	T	Boston College	2015	6
Philadelphia Eagles	JaCorey Shepherd	CB	Kansas	2015	6
San Diego Chargers	Darius Philon	DT	Arkansas	2015	6
Minnesota Vikings	B.J. Dubose	DE	Louisville	2015	6
Buffalo Bills	Nick O'Leary	TE	Florida State	2015	6
Cleveland Browns	Malcolm Johnson	TE	Mississippi State	2015	6
Philadelphia Eagles	Randall Evans	CB	Kansas State	2015	6
Cincinnati Bengals	Derron Smith	SAF	Fresno State	2015	6
Cleveland Browns	Randall Telfer	TE	USC	2015	6
Pittsburgh Steelers	L.T. Walton	DT	Central Michigan	2015	6
Detroit Lions	Quandre Diggs	CB	Texas	2015	6
St. Louis Rams	Bud Sasser	WR	Missouri	2015	6
New England Patriots	A.J. Derby	TE	Arkansas	2015	6
Denver Broncos	Darius Kilgo	NT	Maryland	2015	6
Baltimore Ravens	Darren Waller	WR	Georgia Tech	2015	6
Indianapolis Colts	Josh Robinson	RB	Mississippi State	2015	6
Green Bay Packers	Aaron Ripkowski	FB	Oklahoma	2015	6
Indianapolis Colts	Amarlo Herrera	LB	Georgia	2015	6
Tennessee Titans	Andy Gallik	C	Boston College	2015	6
Seattle Seahawks	Obum Gwacham	DE	Oregon State	2015	6
Green Bay Packers	Christian Ringo	DE	Louisiana-Lafayette	2015	6
Houston Texans	Reshard Cliett	OLB	South Florida	2015	6
Pittsburgh Steelers	Anthony Chickillo	DE	Miami (Fla.)	2015	6
Green Bay Packers	Kennard Backman	TE	Alabama-Birmingham	2015	6
Seattle Seahawks	Kristjan Sokoli	DT	Buffalo	2015	6
St. Louis Rams	Cody Wichmann	G	Fresno State	2015	6
Houston Texans	Christian Covington	DT	Rice	2015	6
Kansas City Chiefs	Rakeem Nunez-Roches	DT	Southern Mississippi	2015	6
Oakland Raiders	Anthony Morris	G	Tennessee State	2015	7
Cleveland Browns	Hayes Pullard	LB	USC	2015	7
Jacksonville Jaguars	Neal Sterling	WR	Monmouth (N.J.)	2015	7
Oakland Raiders	Andre Debose	WR	Florida	2015	7
Washington Redskins	Austin Reiter	C	South Florida	2015	7
New York Jets	Deon Simon	DT	Northwestern State-Louisiana	2015	7
St. Louis Rams	Bryce Hager	LB	Baylor	2015	7
Atlanta Falcons	Jake Rodgers	T	Eastern Washington	2015	7
New York Giants	Bobby Hart	G	Florida State	2015	7
St. Louis Rams	Martin Ifedi	DE	Memphis	2015	7
Minnesota Vikings	Austin Shepherd	T	Alabama	2015	7
Jacksonville Jaguars	Ben Koyack	TE	Notre Dame	2015	7
New Orleans Saints	Marcus Murphy	RB	Missouri	2015	7
Tampa Bay Buccaneers	Joey Iosefa	FB	Hawaii	2015	7
Minnesota Vikings	Edmond Robinson	LB	Newberry	2015	7
Kansas City Chiefs	Da'Ron Brown	WR	Northern Illinois	2015	7
Buffalo Bills	Dezmin Lewis	WR	Central Arkansas	2015	7
